Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
2,46.1089, ,1.5,16.52668, ,1.5,20.15583, ,2,26.30505, ,2,26.30505, ,1.5,99.79303, ,3,62.79036, ,5.5,88.11634, ,2.25,32.78241, ,3,54.14142, ,1.5,62.59916, ,2,87.54202, ,1.5,78.33021, ,2.5,58.06348, ,2.25,101.0765, ,1.5,69.53707, ,1.75,47.94296, ,2,70.8576, ,3.75,98.27706, ,2.5,82.38514, , 
2.25,49.219, ,1.75,18.1519, ,1.75,22.96582, ,2.25,28.53147, ,2.25,28.53147, ,1.75,98.45448, ,3.25,63.15514, ,5.75,89.33984, ,2.5,34.3837, ,3.25,55.51962, ,1.75,65.14302, ,2.25,88.16337, ,1.75,79.95249, ,2.75,60.98111, ,2.5,103.8916, ,1.75,73.60474, ,2,49.69672, ,2.25,74.38826, ,4,99.54245, ,2.75,84.00237, , 
2.5,52.23059, ,2,20.33213, ,2,25.17165, ,2.5,29.94457, ,2.5,29.94457, ,2,99.26359, ,3.5,63.98814, ,6,90.30654, ,2.75,36.08013, ,3.5,53.8945, ,2,67.7527, ,2.5,89.83679, ,2,81.45851, ,3,63.13734, ,2.75,107.8129, ,2,77.95946, ,2.25,48.79961, ,2.5,78.0809, ,4.25,100.0919, ,3,85.69225, , 
2.75,55.11128, ,2.25,22.70651, ,2.25,27.12711, ,2.75,30.90275, ,2.75,30.90275, ,2.25,100.8161, ,3.75,65.37717, ,6.25,90.69531, ,3,37.99721, ,3.75,55.11506, ,2.25,70.56867, ,2.75,91.39255, ,2.25,82.8985, ,3.25,64.39547, ,3,121.7432, ,2.25,90.32376, ,2.5,51.00936, ,2.75,82.03343, ,4.5,100.7125, ,3.25,87.43975, , 
3,57.72905, ,2.5,25.07144, ,2.5,28.48353, ,3.5,35.17385, ,3.5,35.17385, ,2.5,102.0273, ,4,66.2814, ,6.5,88.42273, ,3.25,40.24513, ,4,57.16883, ,2.5,74.17298, ,3,92.86644, ,2.5,84.25962, ,3.5,66.63828, ,3.25,132.3106, ,2.5,94.56452, ,2.75,53.55018, ,3,86.14026, ,5,102.3136, ,3.5,89.13963, , 
3.25,59.60961, ,2.75,27.10016, ,2.75,29.89582, ,3.75,35.62613, ,3.75,35.62613, ,2.75,103.1172, ,4.25,67.13382, ,6.75,85.6616, ,3.5,42.87702, ,4.25,58.87384, ,3,83.53977, ,3.25,94.24304, ,2.75,85.40809, ,3.75,69.45317, ,3.5,123.5323, ,2.75,98.82518, ,3,56.00484, ,3.25,89.82867, ,5.25,102.8425, ,3.75,90.59035, , 
3.5,59.81395, ,3,29.04633, ,3,31.35444, ,4,35.83556, ,4,35.83556, ,3,104.2116, ,4.5,68.34825, ,7,83.93498, ,3.75,45.71783, ,4.5,59.88847, ,3.25,85.05292, ,3.5,95.50034, ,3,86.23373, ,4,72.1443, ,3.75,99.32871, ,3,101.219, ,3.25,58.23479, ,3.5,92.86228, ,5.5,103.1437, ,4,92.00628, , 
3.75,61.74604, ,3.25,30.19823, ,3.25,32.78013, ,4.25,36.36652, ,4.25,36.36652, ,3.25,105.2997, ,4.75,73.47084, ,7.25,75.10001, ,4,48.63, ,4.75,61.18429, ,3.5,86.3708, ,3.75,96.67336, ,3.25,86.51039, ,4.25,74.63985, ,4,73.04406, ,3.25,102.3953, ,3.5,60.81831, ,3.75,96.11875, ,5.75,102.9752, ,4.25,93.31353, , 
4,63.39401, ,3.5,31.21438, ,3.5,32.14394, ,4.5,37.43149, ,4.5,37.43149, ,3.5,106.4918, ,5,76.48659, ,7.5,70.95145, ,4.25,51.62161, ,5,62.62972, ,3.75,87.37626, ,4,97.7933, ,3.5,86.43236, ,4.5,77.25707, ,4.25,66.83769, ,3.5,103.3483, ,3.75,63.89883, ,4,99.75712, ,6,102.0838, ,4.5,94.35391, , 
4.25,64.07178, ,3.75,32.62239, ,3.75,32.89082, ,4.75,38.81698, ,4.75,38.81698, ,3.75,107.701, ,5.25,78.00837, ,7.75,68.59575, ,4.5,54.55837, ,5.25,64.30807, ,4,87.77674, ,4.25,98.84996, ,3.75,87.95677, ,4.75,80.00969, ,4.5,65.92348, ,3.75,104.0365, ,4,67.41463, ,4.25,103.9536, ,6.25,100.0488, ,4.75,94.99304, , 
