Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
2.25,33.00772, ,2.75,60.24555, ,2.25,77.96403, ,3,68.96916, ,2.25,67.62902, ,2.25,60.42902, ,2.25,60.80377, ,3.5,54.51098, ,3.75,65.3573, ,2.5,70.68058, ,2.25,65.60427, ,2.25,54.15622, ,3.25,77.73265, ,2.5,60.27019, ,4.75,91.15301, ,2.75,71.02663, ,2.5,76.50562, ,4.5,86.25843, ,2.25,51.39278, ,2.75,36.31509, , 
2.5,36.4741, ,3,61.58996, ,2.5,81.02622, ,3.25,70.9881, ,2.5,70.49101, ,2.5,62.17054, ,2.5,62.89815, ,3.75,56.68726, ,4,68.13103, ,2.75,72.61945, ,2.5,67.13671, ,2.5,56.09108, ,3.5,83.38959, ,2.75,64.09099, ,5,103.9212, ,3,73.65807, ,2.75,78.65953, ,4.75,87.7983, ,2.5,52.3647, ,3,39.40256, , 
2.75,40.43502, ,3.25,63.32293, ,2.75,83.5116, ,3.5,73.1419, ,2.75,73.22047, ,2.75,63.8005, ,2.75,64.87508, ,4,59.14875, ,4.25,70.66928, ,3,73.99459, ,2.75,67.82586, ,2.75,57.9599, ,3.75,102.2768, ,3,68.92095, ,5.25,103.2312, ,3.25,76.51556, ,3,80.44659, ,5,88.83409, ,2.75,53.11316, ,3.25,41.39763, , 
3,43.86408, ,3.5,65.21338, ,3,85.54678, ,3.75,74.96854, ,3,76.86195, ,3,65.31198, ,3,66.74973, ,4.25,61.29195, ,4.5,73.02155, ,3.25,74.18371, ,3.25,71.73825, ,3,59.94655, ,4,106.1384, ,3.25,73.18249, ,5.5,102.4996, ,3.5,86.22094, ,3.25,82.3561, ,5.25,88.24, ,3,54.04557, ,3.5,42.374, , 
3.25,48.29561, ,3.75,67.61944, ,3.25,87.22997, ,4,76.23051, ,3.25,80.62305, ,3.25,66.75532, ,3.25,68.53082, ,4.5,63.20039, ,4.75,75.05975, ,3.5,76.35939, ,3.5,74.04077, ,3.25,62.05755, ,4.25,108.8967, ,3.5,76.71427, ,5.75,103.3557, ,3.75,92.74225, ,3.5,82.99446, ,5.5,86.85964, ,3.25,54.58029, ,3.75,43.19546, , 
3.5,52.46591, ,4,70.24855, ,3.5,88.53539, ,4.25,77.09437, ,3.5,83.98904, ,3.5,68.21667, ,3.5,70.22934, ,4.75,66.04376, ,5,77.3399, ,3.75,78.80162, ,3.75,76.17309, ,3.5,64.07732, ,4.5,109.5933, ,3.75,80.00902, ,6,104.1605, ,4,92.69033, ,3.75,83.97398, ,5.75,81.74055, ,3.5,54.7305, ,4,43.84075, , 
3.75,56.17919, ,4.25,71.66184, ,3.75,89.63382, ,4.5,79.18035, ,3.75,85.39979, ,3.75,70.02524, ,3.75,71.85153, ,5,67.55614, ,5.25,80.81965, ,4.25,83.75796, ,4,78.11935, ,3.75,65.97319, ,5,103.813, ,4,82.84995, ,6.25,105.0938, ,4.25,93.02458, ,4,83.4714, ,6,79.22854, ,3.75,54.54671, ,4.25,44.26947, , 
4,60.03157, ,4.5,72.33074, ,4,90.64244, ,4.75,80.87125, ,4,89.19422, ,4,71.46586, ,4,73.39117, ,5.25,67.50473, ,5.5,83.43671, ,4.5,86.0486, ,4.25,80.25917, ,4,67.70434, ,5.25,89.47949, ,4.25,84.43699, ,6.5,105.0846, ,4.5,93.98265, ,4.25,81.88021, ,6.25,78.59322, ,4,54.14562, ,4.5,44.3815, , 
4.25,63.78882, ,4.75,72.89206, ,4.25,91.71019, ,5,81.87314, ,4.25,91.07203, ,4.25,72.59581, ,4.25,74.83784, ,5.5,56.23816, ,5.75,86.07135, ,4.75,88.33018, ,4.5,82.49823, ,4.25,69.45335, ,5.5,71.04891, ,4.5,85.8325, ,6.75,104.718, ,4.75,95.26459, ,4.75,70.64395, ,6.5,77.02938, ,4.25,54.29677, ,4.75,43.96405, , 
4.5,66.70187, ,5,73.08993, ,4.5,92.77767, ,5.25,82.67472, ,4.5,91.93183, ,4.5,73.58939, ,4.5,76.18687, ,5.75,55.37756, ,6,87.28122, ,5,90.80674, ,4.75,84.56258, ,4.5,71.2995, ,5.75,55.17612, ,4.75,88.66243, ,7,103.5748, ,5,96.44807, ,5,70.42704, ,6.75,75.98785, ,4.5,54.95241, ,5,41.78747, , 
4.75,69.69166, ,5.25,73.50216, ,4.75,93.78895, ,5.5,83.21992, ,4.75,94.5183, ,4.75,74.45956, ,4.75,77.47274, ,6,54.98476, ,6.25,85.52093, ,5.25,93.66437, ,5,86.68471, ,4.75,73.20161, ,6,45.17841, ,5,91.48921, ,7.25,98.65868, ,5.25,97.53877, ,5.25,69.523, ,7,72.92871, ,4.75,55.29998, ,5.25,42.06449, , 
5,73.54189, ,5.5,73.87442, ,5,94.72529, ,5.75,83.57908, ,5,96.69492, ,5,75.21664, ,5,78.68754, ,6.25,52.91902, ,6.5,65.86322, ,5.75,100.371, ,5.25,88.78576, ,5,75.20427, ,6.25,42.1938, ,5.25,94.14053, ,7.5,94.06774, ,5.5,98.52098, ,5.5,66.57291, ,7.25,72.17864, ,5,55.44401, ,5.5,42.71911, , 
5.25,76.40502, ,5.75,74.14926, ,5.25,95.65796, ,6,83.78672, ,5.25,97.08074, ,5.25,75.923, ,5.25,80.11264, ,6.5,49.27988, ,6.75,63.46464, ,6,101.1981, ,5.5,90.95501, ,5.25,77.11699, ,6.5,41.64278, ,5.5,96.90995, ,7.75,91.71725, ,5.75,99.37769, ,5.75,63.74834, ,7.5,71.73525, ,5.25,55.57966, ,5.75,42.98665, , 
5.5,78.81592, ,6,74.32372, ,5.5,96.5542, ,6.25,83.79416, ,5.5,97.31889, ,5.5,76.88169, ,5.5,82.06656, ,6.75,45.83557, ,7,60.2621, ,6.25,100.5645, ,5.75,92.76791, ,5.5,78.92715, ,6.75,40.98821, ,5.75,99.97196, ,8,88.42474, ,6,100.0764, ,6,61.49434, ,7.75,69.84634, ,5.5,55.62533, ,6,42.79359, , 
5.75,80.93552, ,6.25,74.63768, ,5.75,97.22907, ,6.5,83.27545, ,5.75,93.13705, ,5.75,78.19629, ,5.75,84.01859, ,7,42.9393, ,7.25,59.42047, ,6.5,100.2288, ,6,93.66971, ,5.75,80.52582, ,7,40.25449, ,6,103.3393, ,8.25,84.55788, ,6.25,100.5048, ,6.25,58.45361, ,8,68.67799, ,5.75,55.3311, ,6.25,42.20416, , 
6,82.63275, ,6.5,70.65752, ,6,97.51526, ,6.75,87.08476, ,6,86.14158, ,6,79.27941, ,6,91.02644, ,7.25,38.24376, ,7.5,55.94976, ,6.75,101.8776, ,6.25,93.61546, ,6,81.87186, ,7.25,39.36719, ,6.25,107.4646, ,8.5,81.83178, ,6.5,99.82741, ,6.5,54.06808, ,8.25,65.005, ,6,54.84474, ,6.5,41.31152, , 
6.25,83.05421, ,6.75,70.43894, ,6.25,97.10325, ,7,99.43811, ,6.25,81.00328, ,6.25,79.99952, ,6.25,94.32111, ,7.5,31.7304, ,7.75,53.43818, ,7,103.8699, ,6.5,97.90635, ,6.25,81.15084, ,7.5,38.35467, ,6.5,110.3743, ,8.75,80.27002, ,6.75,92.57995, ,6.75,47.17943, ,8.5,60.57516, ,6.25,54.1772, ,6.75,40.16728, , 
