Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
         4.25,      72.10072, ,             4,      65.12302, ,          2.75,      66.60659, ,          3.25,      63.10613, ,          3.75,      55.41082, ,           2.5,      63.32502, ,             4,      50.15505, ,          4.25,       50.1723, ,             3,      52.99899, ,           2.5,      54.08551, ,          2.25,       93.5469, ,          2.25,      90.29681, ,          2.25,      98.18742, ,          2.75,      62.57728, ,          3.25,      76.61108, ,          4.25,      91.42568, ,          4.75,      48.36254, ,          4.25,      71.94852, ,          2.25,      63.44032, ,             3,       40.5001, ,             4,      44.79687, ,          4.25,      77.33362, ,          4.25,      49.18836, ,          3.75,      51.70661, ,          7.75,      60.41121, ,          2.25,      95.11861, ,          2.75,      46.98252, ,          2.75,      53.40758, ,          4.25,      66.68243, ,             5,      70.18946, ,          3.75,      55.70131, ,             3,      58.08509, ,          2.25,      52.60459, ,          2.25,       54.3705, ,           2.5,      55.96046, ,           2.5,      55.78011, ,          2.25,      50.42275, ,           2.5,      76.66029, ,           2.5,      87.24208, ,           2.5,      67.55111, ,           2.5,      52.11736, ,          2.25,      45.94147, ,          2.25,      23.86659, ,           2.5,      87.01857, ,          2.25,       78.0029, ,          3.75,      83.17959, ,          2.75,      37.59752, ,          6.75,      11.05513, ,           2.5,      61.23294, ,          2.25,      95.45462, , 
          4.5,      74.73291, ,          4.25,       66.8388, ,             3,      68.73225, ,           3.5,      64.11872, ,             4,      57.42808, ,          2.75,       65.0345, ,          4.25,      51.32838, ,           4.5,      50.89665, ,          3.25,       54.1613, ,          2.75,      55.16662, ,           2.5,      95.49204, ,           2.5,      94.66741, ,           2.5,      98.42529, ,             3,      55.96584, ,           3.5,      76.26466, ,          4.75,      88.83766, ,             5,      53.37599, ,           4.5,      74.80591, ,           2.5,      65.11762, ,          3.25,      41.74542, ,          4.25,      45.84517, ,           4.5,      78.37737, ,           4.5,      49.77555, ,             4,      53.34034, ,             8,      61.33473, ,           2.5,      95.04325, ,             3,      44.81851, ,             3,       54.5185, ,           4.5,      68.08282, ,          5.25,      73.95802, ,             4,      57.51826, ,          3.25,      53.77645, ,           2.5,      54.09228, ,           2.5,      56.01931, ,          2.75,       57.4476, ,          2.75,      56.96305, ,           2.5,      50.96342, ,          2.75,      79.78164, ,          2.75,      89.45939, ,          2.75,      71.22603, ,          2.75,      52.52033, ,           2.5,      48.00947, ,          2.75,      32.09288, ,          2.75,      88.89044, ,           2.5,      83.83057, ,             4,      83.01052, ,             3,      39.02995, ,             7,       10.4711, ,          2.75,      53.72926, ,           2.5,      101.3703, , 
         4.75,      76.92759, ,           4.5,      69.00392, ,          3.25,      70.71121, ,          3.75,      64.76434, ,          4.25,       59.4909, ,             3,      66.71302, ,           4.5,      52.18389, ,          4.75,      51.75882, ,           3.5,      55.67491, ,          3.25,       70.4626, ,          2.75,      97.28968, ,          2.75,      97.40747, ,          2.75,      97.88266, ,          3.25,      38.68748, ,          3.75,      76.49163, ,          5.75,      74.60088, ,          5.25,      55.93852, ,          4.75,      77.05112, ,          2.75,      67.62661, ,           3.5,      42.92382, ,           4.5,      46.59745, ,          4.75,      71.38829, ,          4.75,      50.07748, ,          4.25,      54.91158, ,          8.25,      60.60771, ,          2.75,      94.75235, ,          3.25,      46.28869, ,          3.25,      56.34458, ,          4.75,      68.60015, ,           5.5,       76.3918, ,          4.25,      59.25006, ,           3.5,      53.55974, ,          2.75,      55.41152, ,          2.75,      57.23518, ,             3,      58.81735, ,             3,      58.32351, ,          2.75,      52.29344, ,             3,      84.48051, ,             3,      90.40161, ,             3,      74.86461, ,             3,      46.89193, ,          2.75,      50.06397, ,             3,      37.71302, ,             3,      89.48876, ,          3.25,      103.5439, ,          4.25,      83.09875, ,          3.25,      40.05631, ,          7.25,      9.910148, ,             3,      50.83316, ,          2.75,      108.4717, , 
            5,      79.16832, ,          4.75,      79.18028, ,           3.5,      72.56242, ,             4,      65.41975, ,           4.5,      61.38585, ,          3.25,       68.3444, ,          4.75,      52.80217, ,             5,      52.70247, ,          3.75,      56.91708, ,           3.5,      70.39194, ,             3,      98.85671, ,             3,        98.974, ,             3,      97.37285, ,           3.5,      31.99955, ,             4,      77.03881, ,             6,      71.76225, ,           5.5,      56.33039, ,             5,      78.06419, ,             3,      70.78973, ,          3.75,      44.02651, ,          4.75,      45.47953, ,             5,      70.87823, ,             5,      46.76537, ,          4.75,      57.49322, ,           8.5,      59.64924, ,             3,      94.75629, ,           3.5,      47.69488, ,           3.5,      58.00698, ,             5,      70.48803, ,          5.75,      76.91336, ,           4.5,      60.61546, ,          3.75,      54.42099, ,             3,      56.64921, ,             3,      59.40199, ,          3.25,       61.0345, ,          3.25,      59.81019, ,             3,      53.81801, ,          3.25,      88.46749, ,          3.25,      92.96373, ,          3.25,      77.84111, ,          3.25,      46.93799, ,             3,      46.24469, ,          3.25,      38.24195, ,          3.25,      91.28609, ,           3.5,      100.9982, ,           4.5,      83.32853, ,           3.5,      41.73917, ,           7.5,      9.367473, ,          3.25,      49.16011, ,             3,      113.2172, , 
         5.25,      82.42728, ,             5,      82.26726, ,          3.75,      74.21508, ,          4.25,      65.16394, ,          4.75,      63.00957, ,           3.5,      69.91349, ,             5,      52.77502, ,          5.25,      53.62158, ,          4.25,      52.20356, ,          3.75,      69.45745, ,          3.25,      100.0852, ,          3.25,      100.2011, ,          3.25,      97.57854, ,          3.75,      26.67923, ,          4.25,      77.64242, ,          6.25,      71.12514, ,          5.75,      56.45996, ,          5.25,      79.63256, ,          3.25,      72.30069, ,             4,      45.03473, ,             5,      47.51878, ,          5.25,      71.73913, ,          5.25,      44.52224, ,             5,      57.24676, ,          8.75,      58.44536, ,          3.25,      94.58758, ,          3.75,      48.68538, ,          3.75,      59.53851, ,          5.25,       72.3624, ,             6,      76.23428, ,          4.75,      61.66988, ,             4,       56.5039, ,          3.25,      57.84957, ,          3.25,      61.39221, ,           3.5,      62.72081, ,           3.5,      61.72073, ,          3.25,      55.65825, ,           3.5,      91.71173, ,           3.5,      94.40689, ,           3.5,      80.09225, ,          3.75,      53.36738, ,          3.25,      46.00661, ,           3.5,      37.31873, ,           3.5,      92.34005, ,          3.75,      96.97096, ,          4.75,      82.51799, ,          3.75,      43.38915, ,          7.75,      8.838417, ,           3.5,      48.73438, ,          3.25,      117.4042, , 
          5.5,      84.25434, ,          5.25,      93.84829, ,             4,      75.55175, ,           4.5,      66.70474, ,             5,       64.7657, ,          3.75,      71.40809, ,          5.25,       53.1205, ,           5.5,      54.49607, ,           4.5,      50.28455, ,             4,      62.13405, ,           3.5,      100.7028, ,           3.5,       100.816, ,           3.5,      98.48164, ,          4.75,      73.78571, ,           4.5,      78.11817, ,           6.5,      70.62224, ,             6,      57.53453, ,           5.5,      86.85477, ,           3.5,      74.36783, ,          4.25,      45.94235, ,          5.25,      49.19905, ,           5.5,      72.78488, ,          6.75,      24.38519, ,          5.25,      55.14312, ,             9,      57.02013, ,           3.5,      94.23867, ,             4,       49.3353, ,             4,      60.90392, ,           5.5,      74.20717, ,          6.25,      76.94781, ,             5,      62.36368, ,          4.25,      57.26018, ,           3.5,      58.98854, ,           3.5,      62.93972, ,          3.75,      63.80891, ,          3.75,       62.7812, ,           3.5,      57.53675, ,          3.75,      94.81031, ,          3.75,      94.82139, ,          3.75,      83.31578, ,             4,      53.40996, ,           3.5,      48.08998, ,          3.75,      37.48639, ,          3.75,      92.87802, ,             4,      94.25353, ,          5.25,       85.4303, ,             4,       44.7788, ,             8,       8.32366, ,          3.75,      47.52549, ,           3.5,      119.8111, , 
         5.75,      83.43895, ,           5.5,      94.61051, ,          4.25,       76.2976, ,          4.75,       68.1633, ,           5.5,      68.78026, ,             4,       72.8022, ,           5.5,      53.77955, ,          5.75,      55.32582, ,          4.75,      48.73853, ,          4.25,      60.44479, ,          3.75,      100.2782, ,          3.75,      100.3874, ,          3.75,       99.5584, ,          5.75,      77.98545, ,             5,      79.00645, ,           7.5,      60.10457, ,          6.25,      58.89588, ,          5.75,      91.84503, ,          3.75,      75.10323, ,           4.5,      46.74009, ,           5.5,      50.78629, ,             6,      64.07427, ,             7,      23.79123, ,           5.5,      66.58932, ,          9.25,       55.3867, ,          3.75,      94.42802, ,          4.25,      49.93699, ,          4.25,      62.09729, ,          5.75,      76.01777, ,           6.5,      77.79083, ,          5.25,      63.91101, ,           4.5,      58.91066, ,          3.75,      59.96111, ,          3.75,      64.02988, ,             4,      64.07109, ,             4,      63.33855, ,          3.75,      58.68293, ,             4,      97.70108, ,             4,      96.84059, ,             4,      85.36708, ,          4.25,      53.46854, ,          3.75,       49.7195, ,             4,       37.2839, ,             4,      94.40446, ,          4.25,      92.91782, ,           5.5,      82.78407, ,          4.25,      45.33502, ,          8.25,      7.816497, ,             4,      45.58248, ,          3.75,      94.69518, , 
            6,      81.99901, ,          5.75,      95.14153, ,           4.5,      76.57818, ,             5,      69.53405, ,          5.75,      70.78534, ,          4.25,      74.03593, ,          5.75,      54.29447, ,             6,      55.94156, ,             5,      45.76967, ,           4.5,      59.23062, ,             4,       99.3057, ,             4,      99.41029, ,             4,      100.4138, ,             6,      78.68021, ,          5.25,      78.63653, ,          7.75,      57.77553, ,           6.5,      73.50634, ,             6,       93.7128, ,             4,      74.20778, ,          4.75,      47.47025, ,          5.75,      52.42626, ,          6.25,       64.0993, ,             9,      13.46372, ,          5.75,      68.31786, ,           9.5,      52.57911, ,             4,      93.29234, ,           4.5,      50.06512, ,           4.5,      63.18223, ,             6,      77.51926, ,          6.75,      78.52588, ,           5.5,      65.67058, ,          4.75,      58.93427, ,             4,      60.69762, ,             4,      64.37705, ,          4.25,      65.85966, ,          4.25,      65.45712, ,             4,      60.08111, ,          4.25,      99.70958, ,          4.25,      98.44322, ,          4.25,      87.28783, ,           4.5,      53.64602, ,             4,      50.86908, ,          4.25,       37.5006, ,          4.25,      94.49564, ,           4.5,      90.51519, ,          5.75,      80.49438, ,           4.5,      44.65228, ,           8.5,      7.313234, ,          4.25,      43.01551, ,             4,      76.12775, , 
         6.25,      82.60144, ,             6,      95.28965, ,          4.75,      76.96112, ,          5.25,      70.93281, ,             6,      73.31059, ,           4.5,       74.9998, ,             6,      55.21644, ,          6.25,      56.87926, ,          5.25,      41.04214, ,          4.75,      58.57667, ,          4.25,      99.08834, ,          4.25,      99.19021, ,          4.25,      100.8932, ,          6.25,      79.30897, ,           5.5,      78.11429, ,          15.5,      5.952246, ,          6.75,      86.01838, ,          6.25,      95.19355, ,          4.25,      69.03354, ,             5,      48.08276, ,             6,      53.98822, ,           6.5,      64.22105, ,          9.25,      12.66523, ,             6,      70.06906, ,          9.75,      50.40984, ,          4.25,      93.84461, ,          4.75,      49.79867, ,          4.75,       63.9456, ,          6.25,      78.48499, ,             7,      79.12915, ,          5.75,      67.42011, ,             5,      57.24864, ,          4.25,      61.19708, ,          4.25,      65.60711, ,           4.5,        67.766, ,           4.5,      67.23379, ,          4.25,      62.23682, ,           4.5,      101.1247, ,           4.5,      99.29246, ,           4.5,      89.81436, ,          4.75,      53.34188, ,          4.25,      50.64778, ,             5,      22.73122, ,           4.5,      95.53075, ,          4.75,      89.79724, ,             6,      80.03494, ,          4.75,      43.42194, ,          8.75,      6.808663, ,           4.5,      39.86639, ,          4.25,      65.02234, , 
          6.5,      78.87991, ,          6.25,      91.73393, ,             5,      77.47252, ,           5.5,      85.94269, ,           6.5,      77.29676, ,          4.75,       75.8362, ,          6.25,      56.09111, ,           6.5,      58.27506, ,           5.5,      40.23584, ,             5,      58.82492, ,           4.5,      99.98473, ,           4.5,      100.0845, ,           4.5,      99.87381, ,           6.5,       79.8506, ,          5.75,      77.42267, ,         15.75,      5.739214, ,             7,      88.47152, ,           6.5,      96.43142, ,           4.5,      65.37405, ,          5.25,      48.51643, ,          6.75,      54.42126, ,          6.75,      65.18956, ,           9.5,      11.88248, ,          6.25,      70.75697, ,            10,      48.46959, ,           4.5,      93.31679, ,             5,      49.29514, ,             5,      64.15242, ,           6.5,      78.17483, ,          7.25,      79.60028, ,             6,      69.06377, ,          5.25,       56.5256, ,           4.5,      61.45703, ,           4.5,      67.43749, ,          4.75,      69.29137, ,          4.75,      68.53099, ,           4.5,      63.83166, ,          4.75,      103.8376, ,          4.75,      99.40047, ,          4.75,      91.72494, ,             5,      53.29901, ,           4.5,      51.88108, ,          5.25,        20.817, ,          4.75,      96.18213, ,             5,      87.29689, ,          6.25,      80.13798, ,             5,      43.34637, ,             9,       6.38778, ,          4.75,      36.02057, ,           4.5,      60.16422, , 
            7,      81.58637, ,           6.5,       86.5013, ,          5.25,      78.57551, ,          5.75,      89.86672, ,          6.75,      78.69288, ,             5,      76.10726, ,           6.5,      56.89174, ,          6.75,      59.01203, ,          5.75,      40.22173, ,          5.25,       59.3594, ,          4.75,      100.6998, ,          4.75,      100.7975, ,          4.75,      93.86628, ,          6.75,      80.26324, ,             6,      76.53926, ,            16,      5.212313, ,          7.25,      90.24704, ,          6.75,      97.15584, ,          4.75,      63.19881, ,           5.5,       48.4501, ,             7,      49.38881, ,          8.25,      47.63772, ,          9.75,      11.09752, ,           6.5,      70.45224, ,         10.25,      46.50224, ,          4.75,      92.64346, ,          5.25,      48.13517, ,          5.25,      65.44686, ,          6.75,      78.32755, ,           7.5,      79.88659, ,          6.25,      70.53695, ,           5.5,      55.41739, ,             5,      62.79717, ,          4.75,      69.11128, ,             5,      70.42559, ,             5,      69.26549, ,          4.75,      64.82891, ,             5,      105.6715, ,             5,      100.4498, ,             5,      92.69009, ,          5.25,      50.63726, ,          4.75,      52.12414, ,           5.5,      19.21378, ,             5,      95.83423, ,          5.25,      87.31397, ,           6.5,      77.64703, ,          5.25,      42.51963, ,          9.25,      6.052404, ,          6.75,      17.89797, ,          4.75,      59.47043, , 
         7.25,      72.14755, ,          6.75,      82.81369, ,           5.5,      80.01336, ,             6,      90.37997, ,             7,      79.61514, ,          5.25,       75.6571, ,          6.75,        57.627, ,             7,       59.6234, ,             6,      39.95284, ,           5.5,      60.09372, ,             5,      101.1728, ,             5,      101.2684, ,             5,      89.33078, ,             7,       80.7701, ,          6.25,      75.42974, ,            17,      4.576157, ,           7.5,      91.77888, ,             7,      94.98317, ,             5,      61.63823, ,          5.75,       48.4947, ,          7.25,      45.97766, ,           8.5,      46.02771, ,            10,      10.31034, ,          6.75,      67.60613, ,          10.5,      43.56294, ,             5,      93.11397, ,           5.5,      45.28464, ,           5.5,      67.64674, ,             7,      77.57528, ,          7.75,      79.98142, ,           6.5,      71.89785, ,          5.75,      54.14484, ,          5.25,       63.9949, ,             5,      70.48554, ,          5.25,      71.19044, ,          5.25,      69.32868, ,             5,      65.17937, ,          5.25,      98.55724, ,          5.25,      100.2536, ,          5.25,      94.47216, ,           5.5,      49.48807, ,             5,      52.20499, ,          5.75,      17.84794, ,          5.25,      96.99354, ,           5.5,      86.97483, ,          6.75,      75.17478, ,           5.5,      41.92019, ,           9.5,       5.76609, ,             7,      17.20848, ,             5,      57.14413, , 
          7.5,      68.79447, ,             7,      81.57941, ,          5.75,      81.44212, ,          6.25,      90.42315, ,          7.25,      78.58383, ,           5.5,      75.26381, ,             7,      58.29793, ,          7.25,      60.11316, ,          6.25,      39.22067, ,          6.25,      59.48783, ,          5.25,      101.2962, ,          5.25,      101.3896, ,          5.25,      83.26438, ,          7.25,      81.72713, ,           6.5,      74.04779, ,         17.25,      4.468304, ,          7.75,      93.08702, ,          7.25,      93.24336, ,          5.25,      54.49715, ,             6,      48.61076, ,          13.5,      5.079158, ,          8.75,      43.26068, ,         10.25,      9.532807, ,             7,      64.98024, ,         10.75,      41.49622, ,          5.25,      92.72775, ,          5.75,      42.77453, ,          5.75,      70.81471, ,          7.25,      77.48463, ,             8,      79.81755, ,          6.75,      73.15304, ,             6,      52.64975, ,           5.5,      65.18458, ,          5.25,      71.48985, ,           5.5,      71.57076, ,           5.5,      68.54869, ,          5.25,      65.48793, ,           5.5,      88.08929, ,           5.5,      99.97394, ,           5.5,      95.36946, ,          5.75,      47.85445, ,          5.25,      51.02803, ,             6,      16.74172, ,           5.5,      96.86314, ,          5.75,       85.2376, ,             7,      71.78106, ,          5.75,      41.17511, ,          9.75,      5.515562, ,          7.25,      16.77164, ,          5.25,      55.31672, , 
         7.75,      68.29928, ,          7.25,      77.94949, ,             6,       82.2524, ,           6.5,      90.32626, ,           7.5,      74.22356, ,          5.75,      75.24825, ,          7.25,      58.96634, ,           7.5,      60.53271, ,           6.5,      38.85779, ,           6.5,      65.18397, ,           5.5,      100.7751, ,           5.5,      100.8684, ,           5.5,      73.86741, ,           7.5,      82.97751, ,          6.75,      72.32198, ,          17.5,      4.368937, ,             8,      94.14364, ,           7.5,      90.21787, ,          6.25,      35.19201, ,          6.25,      48.67213, ,         13.75,       4.88488, ,             9,      40.08639, ,          10.5,      8.762573, ,          7.25,      62.85875, ,            11,      39.93666, ,           5.5,      91.54632, ,             6,      39.52822, ,             6,      72.83407, ,           7.5,      76.38135, ,          8.25,      79.15247, ,             7,      74.28342, ,          6.25,      51.19118, ,          5.75,      66.44692, ,           5.5,      72.15012, ,          5.75,      71.14241, ,          5.75,      70.14999, ,           5.5,      67.61844, ,          5.75,      83.46632, ,          5.75,      100.7852, ,          5.75,      95.50319, ,          6.25,      38.29126, ,           5.5,      49.30133, ,          6.25,      15.59048, ,          5.75,      96.83318, ,             6,      84.92973, ,          7.25,      67.16938, ,             6,      40.19341, ,            10,      5.293113, ,           7.5,      15.73496, ,           5.5,      52.95883, , 
            8,       67.6648, ,           7.5,      72.70702, ,          6.25,      95.85367, ,          6.75,      90.19331, ,          7.75,      72.42362, ,             6,       76.4801, ,           7.5,      60.04357, ,          7.75,      61.01551, ,          6.75,      38.61718, ,          6.75,      65.14538, ,          5.75,      99.42257, ,          5.75,      99.51363, ,          5.75,      73.03479, ,          7.75,      83.96748, ,             7,      70.13364, ,         17.75,      4.276692, ,          8.25,      94.85827, ,          7.75,      84.92381, ,             7,       31.5105, ,           6.5,      48.61833, ,            14,      4.543982, , , , ,         10.75,      8.026205, ,           7.5,      61.43063, ,         11.25,      38.52716, ,          5.75,      91.59382, ,          6.25,      26.29824, ,          6.25,      72.46148, ,          7.75,      71.05668, ,           8.5,      77.98599, ,          7.25,      75.29407, ,           6.5,      49.40986, ,             6,       67.8011, ,          5.75,      72.48117, ,             6,      69.50478, ,             6,      71.78642, ,          5.75,      69.15053, ,             6,      70.28392, ,             6,      95.90706, ,             6,      96.92163, ,           6.5,      36.06691, ,          5.75,      47.71845, ,           6.5,       14.4988, ,             6,      96.87591, ,          6.25,      83.23063, ,           7.5,      59.36384, ,          6.25,      38.91494, ,         10.25,      5.093339, ,          7.75,      14.73985, ,          5.75,      50.27186, , 
         8.25,      66.75249, ,          7.75,      67.31627, ,           6.5,       88.6334, ,             7,      89.23802, ,             8,      67.33424, ,          6.25,      77.80077, ,          7.75,      60.28971, ,             8,      61.15749, ,             7,      38.35668, ,             7,      65.03396, ,             6,      97.23524, ,             6,      97.32236, ,             6,      72.49079, ,             8,      84.46086, ,          7.25,      67.26321, ,            18,       4.19047, ,           8.5,       94.9893, ,             8,      79.26245, ,          7.25,      22.89052, ,          6.75,      48.40509, ,         14.25,      4.440559, , , , ,            11,       7.33974, ,         15.25,      5.338739, ,          11.5,      37.15421, ,             6,      91.68782, ,           6.5,      24.43411, ,           6.5,        72.489, ,             8,      68.40941, ,          8.75,      78.30101, ,           7.5,      76.15304, ,          6.75,      47.39949, ,          6.25,      68.90492, ,             6,      72.16548, ,          6.25,      70.96979, ,          6.25,      73.24422, ,             6,      70.01083, ,          6.25,      66.96506, ,          6.25,      84.58675, ,          6.25,       94.2513, ,          6.75,      32.77719, ,          6.25,      38.06284, ,          6.75,      13.58402, ,          6.25,      96.02282, ,           6.5,      82.11271, ,          7.75,      58.08206, ,           6.5,      37.31411, ,          10.5,      4.912814, ,             8,      13.80861, ,             6,      47.06375, , 
          8.5,       65.8104, ,             8,      65.82392, ,          6.75,      86.46623, ,           7.5,      80.74462, ,          8.25,      62.98874, ,           6.5,      78.82311, ,             8,      60.35717, ,          8.25,      60.97503, ,          7.25,      38.01629, ,          7.25,      64.82905, ,          6.25,      94.38508, ,          6.25,      94.46972, ,          6.25,      71.96274, ,          8.25,      83.72095, ,           7.5,      63.22112, ,         18.25,      4.109381, ,          8.75,      93.25212, ,          8.25,        70.445, ,           7.5,       21.1824, ,             7,      46.98782, ,          14.5,      4.352274, , , , ,         11.25,      6.711129, ,          15.5,      5.256522, ,         11.75,      35.74189, ,          6.25,      91.10426, ,          6.75,      18.71106, ,          6.75,      72.08282, ,          8.25,      67.47126, ,             9,       78.4273, ,          7.75,      75.83016, ,             7,       45.0779, ,           6.5,      70.04313, ,          6.25,      70.68767, ,           6.5,      72.23696, ,           6.5,      74.03739, ,          6.25,      70.03773, ,           6.5,      66.50048, ,           6.5,      78.11576, ,           6.5,      80.92013, ,          8.75,      15.78367, ,           6.5,       35.4203, ,             7,      12.83472, ,           6.5,      95.11247, ,          6.75,      80.18292, ,             8,      57.23435, ,          6.75,       35.2839, ,         10.75,      4.749015, ,          8.25,      12.93801, ,          6.25,      42.87331, , 
         8.75,      64.90418, ,          8.25,      65.01575, ,             7,      83.99613, ,          7.75,      78.56799, ,          8.75,      54.92432, ,          6.75,      78.59557, ,          8.25,      58.16125, ,           8.5,      60.24935, ,           7.5,      37.54315, ,           7.5,      64.49964, ,           6.5,      89.05412, ,           6.5,       89.1339, ,           6.5,      71.36439, ,           8.5,      80.85573, ,          7.75,      62.90931, ,          18.5,      4.032702, ,             9,      90.22924, ,           8.5,      68.69877, ,          7.75,      19.64018, ,          7.25,      46.59713, ,         14.75,      4.270193, , , , ,          11.5,      6.186594, ,         15.75,      5.169617, ,            12,      34.19683, ,           6.5,      89.83261, ,             7,      17.41986, ,             7,      71.80281, ,           8.5,      66.65087, ,          9.25,      78.32541, ,             8,        75.217, ,          7.25,      42.36682, ,          6.75,      71.14747, ,           6.5,       69.9401, ,          6.75,       73.2069, ,          6.75,      74.16543, ,           6.5,      70.28786, ,          6.75,      66.46921, ,          6.75,      72.75093, ,          6.75,       73.8284, ,             9,      14.74122, ,          6.75,      31.18459, ,          7.25,      12.18617, ,          6.75,      94.24173, ,             7,      76.47269, ,          8.25,      56.17809, ,             7,      32.00872, ,            11,      4.599895, ,           8.5,      12.11852, ,           6.5,      37.45704, , 
            9,      63.78807, ,           8.5,      64.17409, ,          7.25,      82.19991, ,             8,      76.10839, ,             9,      50.75324, ,             7,      78.56246, ,           8.5,      58.99391, ,          8.75,      44.71664, ,          7.75,      35.99925, ,          7.75,      63.99234, ,          6.75,      88.92852, ,          6.75,      89.01148, ,          6.75,      70.49273, ,          8.75,      75.21243, ,             8,      64.09665, ,         18.75,      3.959813, ,          9.25,      88.22769, ,          8.75,      66.16117, ,             8,      18.25312, ,           7.5,      46.64519, ,            15,      4.192586, , , , , , , ,            16,      4.857058, ,         12.25,      31.24285, ,          6.75,      89.05307, ,          7.25,      16.22534, ,          7.25,      72.36661, ,          8.75,      65.47899, ,           9.5,      78.20692, ,          8.25,       74.7176, ,           7.5,      39.03114, ,             7,      72.27043, ,          6.75,      70.88207, ,             7,       73.9879, ,             7,      72.85279, ,          6.75,      71.64999, ,             7,      65.69905, ,             7,      68.85991, ,             7,      69.10068, ,          9.25,      13.84747, ,          8.25,      16.85684, ,           7.5,      11.59829, ,             7,      92.63864, ,          7.25,      68.80257, ,           8.5,      54.68246, ,          8.25,      28.91347, ,         11.25,      4.463836, ,          8.75,      11.35686, , , , , 
         9.25,      62.96862, ,          8.75,      63.10027, ,           7.5,      81.67752, ,          8.25,       74.1857, ,          9.25,      47.61708, ,          7.25,      78.44889, ,          8.75,      58.46002, ,             9,      44.23752, ,             8,       35.3649, ,             8,      63.19498, ,             7,      88.56512, ,             7,      88.65298, ,             7,      69.45051, ,          9.25,      67.29593, ,          8.25,      65.33921, ,            19,      3.890205, ,           9.5,      84.61965, ,             9,      63.65784, ,          8.25,      17.01376, ,          7.75,      46.76891, ,         15.25,      4.119031, , , , , , , ,         17.75,      3.818574, ,          12.5,      30.02574, ,             7,      89.30004, ,           7.5,      15.10775, ,           7.5,      72.62752, ,             9,      64.44911, ,            10,      64.82183, ,           8.5,      74.09353, ,          7.75,      36.05593, ,          7.25,       73.2535, ,             7,      71.92525, ,          7.25,      74.59793, ,          7.25,      74.23411, ,             7,      71.43091, ,          7.25,      64.91842, ,          7.25,      65.97491, ,          7.25,      66.64006, ,           9.5,      12.92857, ,           8.5,      15.52768, ,             9,      7.264283, ,          7.25,      91.70583, ,           7.5,      59.03553, ,          8.75,      52.87999, ,           8.5,      14.17984, ,          11.5,      4.339573, ,             9,      10.59934, , , , , 
