Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, ,Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , Alpha,T1_Re0.500_M0.00_N9.0, , 
0.25,78.75596, ,0.25,68.32177, ,0.25,29.53236, ,0.25,64.33632, ,0.25,56.04602, ,0.25,70.09122, ,0.25,2.604542, ,1.25,68.31882, ,0.25,46.63614, ,0.25,52.15936, ,0.25,50.1891, ,0.25,30.30272, ,0.25,66.67009, ,0.25,31.62129, ,0.25,16.66892, ,0.5,22.92849, ,0.25,49.8616, ,2,19.43465, ,7.75,29.96168, ,2.75,62.51486, , 
0.5,81.60833, ,0.5,71.07849, ,0.5,33.20649, ,0.5,65.106, ,0.5,58.77336, ,0.5,75.78275, ,0.5,5.199255, ,1.5,70.49377, ,0.5,49.32964, ,0.5,54.55386, ,0.5,53.0005, ,0.5,32.89561, ,0.5,69.49251, ,0.5,37.3786, ,0.5,21.81078, ,0.75,25.10423, ,0.5,52.40299, ,2.25,25.72088, ,8,28.1654, ,3,63.89641, , 
0.75,86.30557, ,0.75,73.82959, ,0.75,42.50068, ,0.75,65.90377, ,0.75,61.19293, ,0.75,82.33254, ,0.75,7.716636, ,1.75,72.2625, ,0.75,52.00902, ,0.75,57.09168, ,0.75,55.78506, ,0.75,35.46607, ,0.75,72.24357, ,0.75,44.68878, ,0.75,26.275, ,1,27.81414, ,0.75,55.84909, ,2.5,29.75356, ,8.25,26.49549, ,3.25,64.95088, , 
1,90.56869, ,1,75.87147, ,1,45.53116, ,1,66.86189, ,1,63.38083, ,1,87.8738, ,1,10.49624, ,2,73.49466, ,1,54.54644, ,1,59.52348, ,1,58.52032, ,1,38.00987, ,1,74.77589, ,1,53.76516, ,1,31.15972, ,1.25,35.88054, ,1,58.8383, ,2.75,30.28626, ,8.5,24.94573, ,3.5,66.02967, , 
1.25,93.55156, ,1.25,78.74875, ,1.25,47.70019, ,1.25,64.34143, ,1.25,65.51079, ,1.25,92.16344, ,1.25,13.25852, ,2.25,75.26188, ,1.25,56.77867, ,1.25,61.7355, ,1.25,61.20516, ,1.25,40.52044, ,1.25,76.4642, ,1.25,58.72272, ,1.25,34.10732, ,1.75,56.61911, ,1.25,61.73792, ,3,30.1674, ,8.75,23.50991, ,3.75,67.0217, , 
1.5,96.01317, ,1.5,80.39575, ,1.5,49.91328, ,1.5,60.51699, ,1.5,67.70351, ,1.5,93.50227, ,1.5,15.98457, ,2.5,77.93908, ,1.5,58.59161, ,1.5,63.728, ,1.5,63.82069, ,1.5,42.97943, ,1.5,78.29362, ,1.5,70.23412, ,1.5,36.23803, ,2,60.28501, ,1.5,65.0553, ,3.25,29.69859, ,9,22.18334, ,4.25,69.18117, , 
1.75,99.43621, ,1.75,82.34418, ,1.75,52.25295, ,1.75,57.42109, ,1.75,69.94805, ,1.75,96.51229, ,1.75,18.67132, ,2.75,80.45148, ,1.75,60.11121, ,1.75,65.19881, ,1.75,67.43251, ,1.75,45.36971, ,1.75,80.82127, ,1.75,78.19541, ,1.75,37.75911, ,2.25,64.1201, ,1.75,68.88839, ,4,26.40812, ,9.25,20.95702, ,4.5,69.72919, , 
2,102.3416, ,2,84.43098, ,2,54.57473, ,2,56.21891, ,2,72.2675, ,2,99.02429, ,2,21.25701, ,3,82.17331, ,2,63.87568, ,2,67.33089, ,2,70.35814, ,2,47.67636, ,2,83.2475, ,2,84.78101, ,2,37.75374, ,2.5,67.34409, ,2,72.93509, ,4.25,26.47952, ,9.5,19.82366, ,4.75,71.35843, , 
2.25,103.8886, ,2.25,86.97153, ,2.25,56.64518, ,2.25,55.81596, ,2.25,74.53242, ,2.25,100.6445, ,2.25,23.7743, ,3.25,83.37721, ,2.25,66.78759, ,2.25,70.79279, ,2.25,73.31181, ,2.25,49.87816, ,2.25,86.74954, ,2.25,92.28763, ,2.25,40.98092, ,2.75,69.15188, ,2.25,77.19565, ,4.5,26.44347, ,9.75,18.79528, ,5,71.60879, , 
2.5,106.0585, ,2.5,88.29618, ,2.5,58.58616, ,2.5,53.1473, ,2.5,76.39397, ,2.5,100.9158, ,2.5,26.91262, ,3.5,84.2401, ,2.5,69.46568, ,2.5,73.45524, ,2.5,76.16413, ,2.5,51.87073, ,2.5,91.26468, ,2.5,96.95214, ,2.5,43.94606, ,3,70.45763, ,2.5,80.79902, ,4.75,26.29819, ,10,17.85681, ,5.25,71.76919, , 
